L51584;71799116439;MM173;Pink Lamp;3;11.90;1/6/22
M79c70;75712679619;N2599;Cute Cat Plushie;5;35.00;1/6/22
M45bac;41437227995;278LL;Dino Doodle Pencil Case;3;30.00;1/6/22
M34370;76626358587;01973;Kids 12Pcs Colour Pencil Sets;7;12.00;1/6/22
M9b8ca;22669430902;3NM32;Iphone 13 Max Pro Clear Case;10;5;1/6/22
M694b6;79501900051;717NK;Twin Pack Twisties Combo;4;6.50;1/6/22
M1426b;73437446631;K4162;Candy Cane;3;3.50;1/6/22
Mac824;94991433554;JMNM8;5000mAh Power Bank;3;50.00;1/6/22
Laa676;91357167869;7982M;Black Portable Umbrelaa;2;30.00;1/6/22
L27940;96166952750;K8NJ1;Food Container;5;5.00;1/6/22
L2500b;57040328484;JJKM4;Kids Calculator Watch;8;10.00;2/6/22
L6b411;58114265035;7MN24;Combo 2Pcs Scented Wet Tissue;5;5.00;2/6/22
L7186b;81559544487;71J2J;RGB Gaming Mouse;4;19.90;2/6/22
Lb9b19;12316875021;33JJ3;Wooden Storage Box;8;8.90;2/6/22
L08431;04652061862;421K2;12Pcs Apollo Set;3;5.00;2/6/22
M82a80;69601076952;N51J7;12M Rope;6;5.60;2/6/22
L35583;31031040997;6N87J;Printed Mousepad;4;20.00;2/6/22
L0a2c4;47123179204;1N82J;Kids Sandals;3;10.00;2/6/22
L85c77;40220370213;3795M;Picture Frame 12x12;10;10.00;2/6/22
L168bb;68629175288;N5J57;Juice Blender;1;39.90;2/6/22
M16930;93837070936;3K5M2;Tshirt;3;15.00;3/6/22
M27654;11462489401;L1J0K;Pencil;5;2.00;3/6/22
Mc3401;28713022085;3LJ77;Slipper;1;19.90;3/6/22
M80955;96828929604;9731J;Shoes;1;129.90;3/6/22
L75017;51692293665;02M7N;Pen;3;4.50;3/6/22
L2614a;34619759477;8825J;Exercise Book;2;3.00;3/6/22
Lbb7a3;57230342126;73430;Highliter;2;5.00;3/6/22
L28593;43909023151;5MLM6;Tissue Box;3;10.30;3/6/22
L96c06;79290185616;N014M;Pencil case;1;18.00;3/6/22
L4202c;74781851744;NLM7N;Wrapping Paper;6;7.20;3/6/22
Lb4a13;75871068984;J9113;Sellotape;3;2.70;3/6/22
L78320;38724820958;N0J6L;Fresh Milk;2;27.80;4/6/22
L2846b;67828749117;5LN4L;Bread;1;2.50;4/6/22
Lc5057;05014338153;M9494;Toys;1;16.90;4/6/22
M94abb;75131686265;JM0J3;Soap;2;10.80;4/6/22
M5529c;47404361894;4187J;Toothpaste;1;3.20;4/6/22
M11838;84680868247;M309L;Foundation;1;26.60;4/6/22
Ma170b;08972295133;K0J16;Toothbrush;4;8.00;4/6/22
Mc61b5;61530229374;344LJ;Cooking Oil;3;22.30;4/6/22
M132c6;36047620168;M0400;Flour;4;14.40;4/6/22
M20a46;72008028050;41MNN;Ruler;5;5.00;4/6/22
M0a199;11103246934;N935L;Sharpener;2;2.00;4/6/22
Lc632c;44984012917;496N5;LegoFlower;1;350.00;5/6/22
Lc68a8;41593080327;N8NMN;Slingbag;1;56.90;5/6/22
L1093c;54648620445;4KL5M;Purse;2;100.00;5/6/22
L29bc6;39888478872;41L8J;BBWPerfume;4;38.00;5/6/22
Mc7159;72539193844;626L1;PortableCharger;2;45.00;5/6/22
M0cbcb;24132456561;942KL;StickyNote;5;30.00;5/6/22
M9b166;78330380402;KJM89;PandoraRings;2;500.00;5/6/22
Ma23a6;35666314361;2M305;Nike Air Force 1;1;369.00;5/6/22
Ma05b4;06531548673;KM2J7;SonyHeadphones;1;1000.00;5/6/22
M73043;97911420581;J9802;AirpodsPro;1;899.00;5/6/22
M674bb;59109242386;7JMMK;FantechWebcam;1;120.00;6/6/22
La0671;27200679266;K53NK;BucketHat;3;30.00;6/6/22
L53024;67109795748;K06K9;DenimJeans;2;150.00;6/6/22
Lb8c5a;65723444408;L3J67;Boots;2;89.00;6/6/22
L38299;23203897775;K69L4;UniqloShirts;6;120.00;6/6/22
L4b763;48076228998;NM808;Lamp;2;30.00;6/6/22
M175c7;86405750035;1094L;Shampoo;2;26.00;6/6/22
M14927;19716810699;N3J63;Desk;1;365.00;6/6/22
LM84a7a;47025439715;170N4;Maggi;2;5.00;6/6/22
Lb9b6b;47025439715;33N88;Samyang;1;12.00;6/6/22
M04743;53626794865;3KK41;Cadbury;1;3.00;7/6/22
M4c438;23996632826;JKL12;Hershey;2;3.00;7/6/22
M95bbb;70901471234;L2077;Chocolate;2;4.00;7/6/22
M3c7bb;35919887624;15807;Pudding;1;4.00;7/6/22
L72059;60496750273;02M38;Cloud9;1;2.00;7/6/22
Lb73c5;69402678010;43154;Fanta;2;2.50;7/6/22
Lb7bc5;05229231024;21N00;Cocacola;2;1.50;7/6/22
L17217;48605636163;49805;Pepsi;1;1.50;7/6/22
M2a0b4;70868697361;3N8KL;Twister;1;2.50;7/6/22
